package,mentions,classification,has_bin,description,keywords,error
k-skill-rhwp,2,cli,True,Node-side HWP editing CLI that wraps @rhwp/core WASM bindings for the rhwp-edit and rhwp-advanced skills,"k-skill,korea,hwp,hwpx,hancom,hangul,rhwp,editor,wasm",
bananatape,2,cli,True,Natural-language Photoshop for AI image models — a local-first vibe design canvas.,"ai,image-generation,image-editing,design,canvas,cli",
elestio,2,cli,True,Elestio CLI - Deploy and manage services on the Elestio DevOps platform,"elestio,cli,devops,deploy,cloud,hosting,managed,open-source",
wattpm,2,cli,True,The Node.js Application Server,,
zerion,2,cli,True,"A TypeScript SDK for the Zerion API, providing access to rich web3 wallet data and analytics.","zerion,web3,defi,crypto,blockchain,sdk,typescript,api",
@grimoirelabs/cli,2,cli,True,CLI for Grimoire spell execution,,
@enonic/nextjs-adapter,2,library,False,> NextJS adapter with Guillotine support and basic views,"enonic,nextjs,adapter,typescript,ecmascript",
polizy,2,library,False,"A flexible, Zanzibar-inspired authorization library for Node.js and TypeScript.","authorization,authz,permissions,access control,zanzibar,typescript,node",
ic-mops,2,cli,True,Mops is a package manager for the Motoko programming language.,,
@heydovetail/dt,2,cli,True,Dovetail CLI,,
pilcrow-ink,2,cli,True,Make your clanker your editor. A prose linter plus nine interpretive lenses anchored in classical style guides plus four project commands for voice ca,"writing,prose,ai,ai-slop,skills,anti-patterns,lint,ci-cd,editor",
animate.css,2,library,False,[![GitHub Version](https://img.shields.io/github/release/daneden/animate.css.svg?style=for-the-badge)](https://github.com/daneden/animate.css) [![Gith,,
markdownlint-cli2,2,cli,True,"A fast, flexible, configuration-based command-line interface for linting Markdown/CommonMark files with the `markdownlint` library","markdown,lint,cli,md,commonmark,markdownlint",
defuddle-cli,2,cli,True,Command line interface for Defuddle - extract article content from web pages,"defuddle,cli",
@withgraphite/graphite-cli,2,cli,True,,,
@stablyai/playwright-test,2,library,False,Playwright Test wrapper with Stably AI matchers,,
@playwright/mcp,2,cli,True,Playwright Tools for MCP,,
@tailwindcss/cli,2,cli,True,A utility-first CSS framework for rapidly building custom user interfaces.,,
indxel,2,cli,True,"SEO infrastructure for developers. Validation, metadata, crawling, structured data. 18 rules, 0-100 scoring, zero config.","seo,seo-linter,seo-check,seo-guard,seo-validation,seo-infrastructure,eslint-seo,next.js,nextjs,metadata,meta-tags,validation,structured-data,json-ld,typescript,ci-cd,developer-tools,open-graph,sitemap",
patchright,2,cli,True,A high-level API to automate web browsers,,
vidu-cli,2,cli,True,Client for Vidu AI video generation,,
koa-websocket,2,library,False,Light wrapper around Koa providing a websocket middleware handler that is koa-route compatible.,"koa,websockets,ws,sockets,routes",
iii-sdk,2,library,False,III SDK for Node.js,"iii,sdk",
ppio-sandbox-cli,2,cli,True,CLI for managing PPIO agent sandbox templates,"PPIO,ai-agents,agents,ai,code-interpreter,sandbox,code,cli,runtime,vm,nodejs,javascript,typescript",
@stripe/stripe-js,2,library,False,Stripe.js loading utility,"Stripe,Stripe.js,Elements",
@stripe/react-stripe-js,2,library,False,React components for Stripe.js and Stripe Elements,"React,Stripe,Elements",
stripe,2,library,False,Stripe API wrapper,"stripe,payment processing,credit cards,api",
@arcjet/cli,2,cli,True,Arcjet CLI — manage Arcjet from the terminal,,
@58pic/cli,2,cli,True,千图 AI 开放平台命令行工具（Open API）,"58pic,qiantu,cli,open-api",
@rsbuild/plugin-react,2,library,False,React plugin for Rsbuild,,
@tailwindcss/vite,2,library,False,A utility-first CSS framework for rapidly building custom user interfaces.,,
agent-validator,2,cli,True,A CLI tool for validating AI coding agents,"cli,ai,agent,testing,node",
varlock,2,cli,True,"AI-safe .env files: Schemas for agents, Secrets for humans.","varlock,secrets,secret-management,env,.env,dotenv,environment variables,env vars,config,1password,bitwarden,infisical,aws,azure,google-cloud,secrets-manager",
@x402/express,2,library,False,x402 Payment Protocol,,
@x402/axios,2,library,False,x402 Payment Protocol,,
acorn,2,cli,True,ECMAScript parser,,
acorn-walk,2,library,False,ECMAScript (ESTree) AST walker,,
@gw-tools/gw-tool,2,unknown,False,,,HTTP 404
tunnelmole,2,cli,True,"Tunnelmole, an open source ngrok alternative. Instant public URLs for any http/https based application. Available as a command line application or as ","tunnelmole,tunneling,proxy,https,ssl,ngrok,localtunnel,pgrok,expose,websocket,webhook,testing",
convex-helpers,2,cli,True,A collection of useful code to complement the official convex package.,"convex,backend,migrations,ratelimit,database,react",
@convex-dev/component-name,2,unknown,False,,,HTTP 404
@openwebf/webf-my-plugin,2,unknown,False,,,HTTP 404
@browserbasehq/cli,2,cli,True,"Browserbase CLI for platform APIs, functions, and browse passthrough.",,
hono,2,library,False,Web framework built on Web Standards,"hono,web,app,http,application,framework,router,cloudflare,workers,fastly,compute,deno,bun,lambda,nodejs",
beads-cli,2,unknown,False,,,HTTP 404
xactions,2,cli,True,"XActions - The Complete X/Twitter Automation Toolkit. Scrapers, MCP server for AI agents, CLI, and browser scripts. No API required. Open source by @n","xactions,twitter,x,twitter-automation,twitter-bot,twitter-scraper,twitter-unfollow,twitter-growth,mass-unfollow,unfollow-tool,twitter-tools,social-media-automation,twitter-api-alternative,puppeteer,twitter-manager,follower-management,twitter-cleanup,auto-follow,auto-like,twitter-analytics,mcp,model-context-protocol,ai-agent,claude,gpt,chatgpt,saas,hypefury-alternative,tweethunter-alternative,free-twitter-api,twitter-without-api,bulk-unfollow,who-unfollowed-me,twitter-followers-tracker,download-twitter-video,twitter-thread-saver,twitter-bookmark-export,vibe-coding,no-code-twitter,thought-leader,algorithm-training,x-algorithm",
@xiaokexiang/db-cli,2,cli,True,多数据库 CLI 工具 - 支持 MySQL 和达梦数据库,"database,cli,sql,mysql,dameng",
use-supercluster,2,library,False,A hook for using Supercluster with React.,"react,supercluster,clustering,maps,hook",
is-odd,2,library,False,"Returns true if the given number is odd, and is an integer that does not exceed the JavaScript MAXIMUM_SAFE_INTEGER.","array,count,even,filter,integer,is,math,numeric,odd,string",
ts-prune,2,cli,True,![Build](https://img.shields.io/github/workflow/status/nadeesha/ts-prune/Run%20CI%20Pipeline) ![npm](https://img.shields.io/npm/dm/ts-prune) ![GitHub ,,
unimported,2,cli,True,Scans your nodejs project folder and shows obsolete files and modules,"nodejs,cli,analysis",
@ssabrojs/hwpxjs,2,cli,True,"HWPX(OWPML)/HWP 5.0(CFB/OLE2) 문서 파싱 + 변환 TypeScript 라이브러리. Markdown·HTML 양방향 변환, 표/이미지/폰트/스타일 보존, 브라우저 ESM 번들 제공.","HWP,HWPX,OWPML,CFB,OLE2,Hancom,한글,한컴,한글문서,parser,converter,document,document-conversion,markdown,html,ZIP,XML,korean,typescript,browser,esm",
supabase,2,cli,True,Supabase CLI,,
clsx,2,library,False,A tiny (239B) utility for constructing className strings conditionally.,"classes,classname,classnames",
inngest,2,library,False,"Official SDK for Inngest.com. Inngest is the reliability layer for modern applications. Inngest combines durable execution, events, and queues into a ","inngest,task manager,workflow,workflows,orchestration,task orchestration,events,webhooks,task scheduler,scheduled jobs,cron jobs,queue,serverless event-driven systems,job scheduler,background jobs,step function,job processing,llm prompt chaining,durable execution,longrunning,long-running,task sequencing,durable workflow,reliability,reliability layer,parallel processing,flow control",
@levnikolaevich/hex-ssh-mcp,2,cli,True,Token-efficient SSH MCP with hash-verified files and persistent tmux sessions. 14 tools.,"mcp,ssh,remote,hash-verified,token-efficient,model-context-protocol,hex-ssh,claude,ai,llm,coding-agent,remote-editing",
@levnikolaevich/hex-graph-mcp,2,cli,True,"Deterministic layered code graph MCP server. Indexes codebases into a SQLite graph via tree-sitter AST, canonical symbol identities, semantic overlays","mcp,codegraph,knowledge-graph,tree-sitter,code-intelligence,blast-radius,dependency-graph,model-context-protocol,claude,ai,llm,coding-agent,code-analysis",
naracli,2,cli,True,CLI for the Nara chain (Solana-compatible),"nara,solana,blockchain,cli,sdk",
@prava-sdk/cli,2,cli,True,Prava CLI — smart wallet for AI agents,,
@syncfusion/ej2-react-calendars,2,library,False,"A complete package of date or time components with built-in features such as date formatting, inline editing, multiple (range) selection, range restri","react,react-calendars,ej2-react-calendars",
@syncfusion/ej2-base,2,cli,True,"A common package of Essential JS 2 base libraries, methods and class definitions","ej2,syncfusion,ej2-base,web-components,typescript,base,common,core,library,ajax,animation,internationalization,drag,drop,drag-drop,template,template-engine,rtl,right-to-left,persistence,state-persistence,theme,styles",
@getlark/cli,2,cli,True,getlark CLI - Invoke testing workflows and manage test executions,"getlark,cli,testing,ci,e2e-testing,sanity-testing,qa",
idmp,2,library,False,"A lightweight TypeScript library for deduplicating and caching async function calls with automatic retries, designed for idempotent network requests i","deduplicate network requests,idempotent API calls,API request deduplication,cache concurrent requests,network request caching,API response caching,auto retry on failure,retry failed API calls,swr alternative,prevent duplicate API requests,fetch deduplication,concurrent fetch cache,async function caching,cache async calls",
@pachca/cli,2,cli,True,CLI для Pachca API,,
mbt,2,cli,True,[![CircleCI](https://circleci.com/gh/SAP/cloud-mta-build-tool.svg?style=svg&circle-token=ecedd1dce3592adcd72ee4c61481972c32dcfad7)](https://circleci.c,,
ccxt,2,library,False,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go,"algorithmic,algotrading,altcoin,altcoins,api,arbitrage,real-time,realtime,backtest,backtesting,bitcoin,bot,btc,cny,coin,coins,crypto,cryptocurrency,crypto currency,crypto market,currency,currencies,darkcoin,dash,digital currency,doge,dogecoin,e-commerce,etc,eth,ether,ethereum,exchange,exchanges,eur,framework,invest,investing,investor,library,light,litecoin,ltc,market,market data,markets,merchandise,merchant,minimal,ohlcv,order,orderbook,order book,price,price data,pricefeed,private,public,ripple,strategy,ticker,tickers,toolkit,trade,trader,trading,usd,volume,websocket,websockets,web socket,web sockets,ws,xbt,xrp,zec,zerocoin",
qrcode.react,2,library,False,React component to generate QR codes,"react,react-component,qrcode",
ghq-sector,2,cli,True,"Node.js CLI for AI-assisted and human-curated ghq workspaces with categorized symlinks, portable config paths, and a local config editor.","ghq,workspace,cli,developer-tools,ai,ai-agent,ai-agents,coding-assistant,codex,claude-code,copilot,repo-management,vscode,visual-json",
reader-cli,2,cli,True,,,
@latitude-data/telemetry,2,library,False,Latitude Telemetry for TypeScript,"AI,Telemetry,sdk,typescript",
@domoinc/ryuu,2,unknown,False,,,HTTP 404
katex,2,cli,True,Fast math typesetting for the web.,,
@vozoai/cli,2,cli,True,[![License: MIT](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT),,
@operately/operately-cli,2,cli,True,Official CLI for Operately external API,,
agentic-qe,2,cli,True,"Agentic Quality Engineering V3 - Domain-Driven Design Architecture with 13 Bounded Contexts, O(log n) coverage analysis, ReasoningBank learning, 60 sp","quality-engineering,testing,automation,ai-agents,distributed-systems,swarm-intelligence,typescript-hooks,native-hooks,lifecycle-management,mcp-integration,agent-coordination,machine-learning,reinforcement-learning,pattern-matching,flaky-test-detection,continuous-improvement,cost-optimization,test-generation,coverage-analysis,ddd,domain-driven-design",
playwright-extra,2,library,False,Teach playwright new tricks through plugins.,"playwright,playwright-extra,stealth,recaptcha,user-preferences,chrome,headless,pupeteer",
puppeteer-extra-plugin-stealth,2,library,False,Stealth mode: Applies various techniques to make detection of headless puppeteer harder.,"puppeteer,puppeteer-extra,puppeteer-extra-plugin,stealth,stealth-mode,detection-evasion,crawler,chrome,headless,pupeteer",
inbound-cli,2,cli,True,,,
pnpm,2,cli,True,"Fast, disk space efficient package manager","pnpm,pnpm11,dependencies,dependency manager,efficient,fast,hardlinks,install,installer,link,lockfile,modules,monorepo,multi-package,npm,package manager,package.json,packages,prune,rapid,remove,shrinkwrap,symlinks,uninstall,workspace",
@abaplint/cli,2,cli,True,abaplint - Command Line Interface,"ABAP,lint",
@tidbcloud/serverless,2,library,False,TiDB Cloud Serverless Driver,"TiDB,TiDB Cloud,serverless,MySQL,edge,Vercel,Cloudflare,Netlify,Bun,Deno,database,SQL",
@ui5/cli,2,cli,True,UI5 CLI - CLI,"openui5,sapui5,ui5,build,development,tool",
mp-skills,2,cli,True,CLI for adding AI Skills to WeChat Mini Programs via wx.modelContext,"wechat,miniprogram,ai,wx-modelcontext,skills",
mjml,2,cli,True,MJML: the only framework that makes responsive-email easy,,
@thinkingpatterns/cli,2,cli,True,ThinkingPatterns CLI for security findings management,,
@xhanglobal/nicechat-cli,2,cli,True,Terminal-first NiceChat CLI for AI agents,"nicechat,cli,terminal,chat,messaging,ai-agent,agent-chat,agent-communication,multi-agent,llm,api-client,direct-messaging,notifications,openclaw,clawhub,xhanglobal,real-time",
@letta-ai/letta-client,2,library,False,The official TypeScript library for the Letta API,,
@ably/cli,2,cli,True,"Ably CLI for Pub/Sub, Chat and Spaces","ably,cli,realtime,pubsub,chat,spaces",
@okx_ai/okx-trade-cli,2,cli,True,OKX CLI - Command line tool for OKX exchange,"okx,cli,trading",
@circle-fin/cli,2,cli,True,Circle CLI — command-line tool for interacting with Circle services.,"circle,cli,wallet,usdc,cctp",
beads-kanban-ui,2,cli,True,Visual Kanban board for the Beads CLI task tracker,"beads,kanban,task-tracker,cli",
codemod,2,cli,True,Codemod platform for semantic code transformations,"ast,codemod,migration,refactoring,transformation",
@agentspace-so/ascli,2,cli,True,Agent Space CLI for syncing a local folder to an editable workspace,,
@ipads-skvm/skvm,1,cli,True,SkVM — compile and run LLM agent skills across heterogeneous models and harnesses,"llm,agent,skills,ai,bun",
@notyped/gitai,1,cli,True,AI-powered git commit assistant and release note generator,"git,ai,commit,assistant",
@binance/binance-cli,1,cli,True,Official Binance CLI - A lightweight cli tool that provides a convenient interface to Binance's REST API.,,
in,1,library,False,Plugin loader. Plays with Ware,"plugins,ware,plugin",
skill,1,cli,True,CLI for installing skill packages into .codebuddy/skills,"skill,cli,skills,skill-installer,codebuddy,agent-skills,npx",
directory,1,library,False,require everything in a directory,,
foo,1,cli,True,An opinionated git cli for oss,,
awp-wallet,1,unknown,False,,,HTTP 404
vite,1,cli,True,Native-ESM powered web dev build tool,"build-tool,dev-server,framework,frontend,hmr,vite",
tree-sitter-solidity,1,library,False,A tree sitter parser for Solidity,,
@blackbox_ai/blackbox-cli,1,cli,True,Blackbox Code,,
react-native-code-push,1,library,False,React Native plugin for the CodePush service,"react-native,code,push",
alkahest-cli,1,cli,True,"Command-line interface for the Alkahest escrow protocol, wrapping the TypeScript SDK. Designed for LLM agents and shell scripting with JSON output by ",,
x402-fetch,1,library,False,x402 Payment Protocol,,
@techdigger/humanode-agentlink-cli,1,cli,True,"Scaffold, link, and inspect Biomapper-ready agent projects.","biomapper,agentlink,cli,x402,mcp",
@mariozechner/pi-coding-agent,1,cli,True,"Coding agent CLI with read, bash, edit, write tools and session management","coding-agent,ai,llm,cli,tui,agent",
obsidian-cli,1,cli,True,,,
@comfyorg/comfyui-frontend-types,1,library,False,TypeScript definitions for @comfyorg/comfyui-frontend,,
@nimble-way/nimble-cli,1,cli,True,Nimble CLI - official command-line tool,,
i18next,1,library,False,i18next internationalization framework,"i18next,internationalization,i18n,translation,localization,l10n,globalization,gettext",
react-i18next,1,library,False,Internationalization for react done right. Using the i18next i18n ecosystem.,"i18next,internationalization,i18n,translation,localization,l10n,globalization,react,reactjs",
react-intl,1,library,False,"Internationalize React apps. This library provides React components and an API to format dates, numbers, and strings, including pluralization and hand","format,formatting,globalization,i18n,internationalization,intl,locale,localization,react,reactjs,translate,translation",
vue-i18n,1,library,False,Internationalization plugin for Vue.js,"i18n,internationalization,intlify,plugin,vue,vue.js",
@lingui/core,1,library,False,Internationalization (i18n) tools for JavaScript,"lingui,linguijs,i18n,icu,messageformat,catalog,runtime,localization,translation,pluralization",
@lingui/react,1,library,False,"React bindings for Lingui with Trans components, providers, and compile-time macros","lingui,linguijs,react,react-i18n,i18n,icu,messageformat,localization,translation,rsc,server-components",
typesafe-i18n,1,cli,True,A fully type-safe and lightweight internationalization library for all your TypeScript and JavaScript projects.,"i18n,typescript,internationalization,typesafe,l10n,localization,internationalization library,localization library,localization engine,lightweight,svelte,sveltekit,react,react-native,nextjs,expo,angular,vue,nuxtjs,solid,nodejs",
@aws/agentcore,1,cli,True,CLI for Amazon Bedrock AgentCore,"aws,amazon,bedrock,agentcore,cli,agents,ai,cdk,langchain,langgraph,openai,anthropic,google-adk,strands",
@inboxapi/cli,1,cli,True,📧 Email for your AI 🤖,"mcp,inboxapi,proxy,email,ai",
base44,1,cli,True,Base44 CLI - Unified interface for managing Base44 applications,"base44,cli,command-line",
whoami,1,library,False,Who am I?,"who,git,user,username",
component-library,1,library,False,An easy way to create HTML styleguide for your project.,"ui,component-library,styleguide",
customize,1,library,False,A simple framework to create customizable engines,,
babel.config.js,1,unknown,False,,,HTTP 404
@linkedapi/linkedin-cli,1,cli,True,AI-agent-friendly CLI for controlling LinkedIn accounts and retrieving real-time data.,"linkedin,cli,api,automation,linkedapi,ai-agent",
@modelcontextprotocol/express,1,library,False,Express adapters for the Model Context Protocol TypeScript server SDK - Express middleware,"modelcontextprotocol,mcp,express,middleware",
paperfit-cli,1,cli,True,Visual Typesetting Optimization Agent System for LaTeX papers,"latex,typesetting,visual-optimization,claude-code,agent-system",
@trustwallet/cli,1,cli,True,TWAK CLI — command-line interface for Trust Wallet Agent Kit,,
lenis,1,library,False,How smooth scroll should be,"scroll,smooth,lenis,react,vue",
vscode-langservers-extracted,1,cli,True,HTML/CSS/JSON/ESLint language servers extracted from [vscode](https://github.com/Microsoft/vscode).,language-server-protocol,
@usebruno/cli,1,cli,True,"With Bruno CLI, you can now run your API collections with ease using simple command line commands.","API,testing,automation,cli,command-line,bruno,HTTP requests,rest-api,api-client,api-automation,request-handling,mock-api,http-client,async,promise,javascript,nodejs,automation-tool,postman-alternative,api-scripting",
nativewind,1,library,False,Use Tailwindcss in your cross-platform React Native applications,"react-native,react,native,tailwind,tailwindcss,theme,style",
happy,1,cli,True,Mobile and Web client for Claude Code and Codex,,
@dataform/cli,1,cli,True,Dataform command line interface.,"dataform,etl,data-pipeline,big-data,data-modelling,sql,bigquery,dataops",
react-leaflet,1,library,False,React components for Leaflet maps,"react-component,react,leaflet,map",
leaflet,1,library,False,JavaScript library for mobile-friendly interactive maps,"gis,map",
@types/leaflet,1,library,False,TypeScript definitions for leaflet,,
recharts,1,library,False,React charts,"react,reactjs,chart,react-component",
laravel-echo,1,library,False,Laravel Echo library for beautiful Pusher and Socket.IO integration,"laravel,pusher,ably",
pusher-js,1,likely-cli (no bin field found),False,"Pusher Channels JavaScript library for browsers, React Native, NodeJS and web workers","pusher,client,websocket,http,fallback,isomorphic,events,pubsub",
@orderly.network/cli,1,cli,True,CLI tool for Orderly Network trading - secure keychain-based authentication,"orderly,orderly-network,cli,trading,defi,perpetuals",
to,1,library,False,"load/convert between xml,json,yaml formats","converter,convertor,json,xml,yaml",
get,1,likely-cli (no bin field found),False,A slightly higher-level HTTP client for node.,"http,client,request,get",
latest,1,cli,True,Determine the latest available version of a package in npm,"latest,npm,version,up-to-date",
@midscene/android,1,cli,True,Android automation library for Midscene,"Android UI automation,Android AI testing,Android automation library,Android automation tool,Android use",
@midscene/harmony,1,cli,True,HarmonyOS automation library for Midscene,"HarmonyOS UI automation,HarmonyOS AI testing,HarmonyOS automation library,HarmonyOS automation tool,HarmonyOS NEXT",
@midscene/web,1,cli,True,"Automate browser actions, extract data, and perform assertions using AI. It offers JavaScript SDK, Chrome extension, and support for scripting in YAML","AI UI automation,AI testing,Computer use,Browser use,Android use",
@midscene/ios,1,cli,True,iOS automation library for Midscene,"iOS UI automation,iOS AI testing,iOS automation library,iOS automation tool,iOS testing,simulator automation",
@nutrient-sdk/dws-mcp-server,1,cli,True,MCP server for Nutrient DWS Processor API,"mcp,mcp-server,nutrient,dws,pdf,document-processing,ai,agent,digital-signature,ocr,redaction,model-context-protocol",
design-book,1,library,False,"A reactive TypeScript design-token framework. Tokens with relationships, derived values, and procedural rules that re-evaluate when their inputs chang","design-tokens,design-system,tokens,css-variables,w3-design-tokens,color,contrast,wcag,procedural,typescript",
@browserbasehq/sdk,1,library,False,The official Node.js library for the Browserbase API,,
mcp-excalidraw-server,1,cli,True,"Excalidraw toolkit for AI coding agents — agent skill, CLI, and MCP server with a live canvas","mcp,mcp-server,excalidraw,model-context-protocol,ai,drawing,diagrams,canvas,real-time,websocket,visualization,claude,ai-tools,claude-skill,agent-skills,cli,ai-agents",
@prisma-next/extension-author-tools,1,cli,True,"CLI tools that pair with the prisma-next-extension-upgrade agent skill — including `prisma-next-check-pins`, the CI guard that asserts every `@prisma-",,
steps,1,library,False,Makes async programming manageable (dare I say delightful?) without wasting horizontal space.,"async,asynchronous,async programming,asynchronous programming,steps",
@mercadopago/sdk-react,1,library,False,Mercado Pago SDK React,"React,MarcadoPago,Bricks,Checkout",
page-agent,1,library,False,GUI agent for web applications - add intelligent automation to any webpage with a single script,"ai,automation,ui-agent,GUI-agent,browser-automation,web-agent,llm,dom-interaction,web-automation,GUI-simulation",
metaharness,1,cli,True,"MetaHarness — mint a custom AI agent harness from any repo. Browser Studio + `npx metaharness` CLI. Runs on Claude Code, Codex, pi.dev, Hermes, OpenCl","metaharness,agent-harness,agent-harness-generator,ai-agent,ai-agent-scaffold,ai-agent-cli,agentic-ai,agentic-workflow,autonomous-agents,multi-agent,multi-agent-framework,repo-to-agent,code-agent,coding-agent,github-agent,scaffold,scaffolder,boilerplate,cli,create-agent,create-app,npx,mcp,mcp-server,model-context-protocol,claude,claude-code,claude-code-plugin,anthropic,openai,codex,openai-codex,pi-dev,hermes-agent,openclaw,rvm,prime-agent,rust,wasm,wasm-bindgen,napi-rs,typescript,ed25519,witness,provenance,slsa,sbom,spdx,gcp-secret-manager,ipfs,agent-orchestration,agent-runtime,agent-factory,vertical-ai,ai-tooling",
@ui5/linter,1,cli,True,A static code analysis tool for UI5,"openui5,sapui5,ui5,development,linter",
new,1,cli,True,Shell script using initializr/html5boilerplate API to quickly generate project setups.,"html5,html5boilerplate,initializr,shell",
frontend,1,library,False,A management system for UI/UX Developers.,"UI,UX",
@cosmicstack/mercury-agent,1,cli,True,"Soul-driven AI agent with Second Brain memory, permission-hardened tools, token budgets, and multi-channel access. Runs 24/7 from CLI or Telegram.","ai,agent,ai-agent,cli,telegram,telegram-bot,personal-assistant,soul-driven,token-budget,permissions,scheduler,cron,skill-system,deepseek,openai,anthropic,llm",
framer-motion,1,library,False,A simple and powerful JavaScript animation library,"react animation,react,pose,react pose,animation,gestures,drag,spring,popmotion,framer,waapi",
@wecom/cli,1,cli,True,The official CLI for WeCom,"wecom-cli,mcp",
xxx,1,library,False,hehe,xixi,
@tenpay/wechatpay-dev-cli,1,cli,True,微信支付 APIv3 命令行工具：列出接口、生成签名串、调用 API,"wechatpay,wechat-pay,weixin-pay,apiv3,cli,签名",
lz-string,1,cli,True,LZ-based compression algorithm,"lz,compression,string",
@cloudflare/next-on-pages,1,cli,True,`@cloudflare/next-on-pages` is a CLI tool that you can use to build and develop [Next.js](https://nextjs.org/) applications so that they can run on th,"cloudflare,cloudflare pages,edge,nextjs",
whoopskill,1,cli,True,CLI for fetching WHOOP health data,"whoop,health,fitness,cli,api",
bring-shopping,1,library,False,Nodejs wrapper for the Bring! API,"bring,shopping-list",
skilllens,1,cli,True,CLI that scans local agent skills/tools and produces security reports.,"security,cli,audit,skills",
lk,1,library,False,Boilerplate,,
@anthropic/pi-coding-agent,1,unknown,False,,,HTTP 404
oxlint,1,cli,True,Linter for the JavaScript Oxidation Compiler,"eslint,javascript,linter,oxc,oxlint,typescript",
tsdown,1,cli,True,The Elegant Bundler for Libraries,,
feedcontext,1,cli,True,FeedContext command line interface,,
@vscode/vsce,1,cli,True,VS Code Extensions Manager,"vscode,vsce,extension",
@replayio/playwright,1,library,False,Configuration utilities for using the Replay browsers with playwright,,
@types/library-name,1,unknown,False,,,HTTP 404
dokploy,1,library,False,Developer-friendly & type-safe Typescript SDK specifically catered to leverage *dokploy* API.,,
adm-zip,1,library,False,Javascript implementation of zip for nodejs with support for electron original-fs. Allows user to create or extract zip files both in memory or to/fro,"zip,methods,archive,unzip",
cheerio,1,library,False,"The fast, flexible & elegant library for parsing and manipulating HTML and XML.","htmlparser,jquery,selector,scraper,parser,dom,xml,html",
zod-to-json-schema,1,library,False,Converts Zod schemas to Json Schemas,"zod,json,schema,open,api,conversion",
chromadb,1,cli,True,A JavaScript interface for chroma,"chroma,embedding,ai,vector",
@chroma-core/default-embed,1,library,False,Default embedding function for Chroma,,
@code-push-next/react-native-code-push,1,library,False,React Native plugin for the CodePush service,"react-native,code,push",
agentic-debug-mode,1,cli,True,Standalone evidence-first debugging CLI for coding agents,,
@docuseal/api,1,library,False,JavaScript / TypeScript library for the DocuSeal API,"esignature,documents",
immer,1,library,False,Create your next immutable state by mutating the current one,"immutable,mutable,copy-on-write",
use-immer,1,library,False,Use immer with React hooks,"immer,react,hooks",
juice,1,cli,True,Inlines css into html source,,
dexie,1,library,False,A Minimalistic Wrapper for IndexedDB,"indexeddb,browser,database",
@easykol/cli,1,cli,True,EasyKOL CLI — KOL discovery over the EasyKOL API (used by the easykol agent skill),,
kalshi-typescript,1,likely-cli (no bin field found),False,OpenAPI client for kalshi-typescript,"axios,typescript,openapi-client,openapi-generator,kalshi-typescript",
@polymarket/clob-client,1,library,False,Typescript client for Polymarket's CLOB,"blockchain,ethereum",
@polymarket/builder-signing-sdk,1,library,False,Polymarket SDK for creating builder headers,,
siwe,1,library,False,Sign-In with Ethereum,"ethereum,sign-in,sign-in-with-ethereum,siwe",
@commet/ai-sdk,1,library,False,Commet billing middleware for Vercel AI SDK,"billing,ai,tokens,usage-based-billing,ai-sdk,middleware",
@onkernel/cli,1,cli,True,Kernel CLI,"kernel,cli,browsers,automation,ai",
@resvg/resvg-js-linux-x64-gnu,1,library,False,"A high-performance SVG renderer and toolkit, powered by Rust based resvg and napi-rs","resvg,svg,node-resvg,resvg-js,resvg-node,rust,svg2png,svg2img,svg to png",
webmcp-kit,1,library,False,Build and test WebMCP tools — in any browser,"webmcp,mcp,model-context-protocol,ai-tools,browser-api,typescript,zod",
@annals/agent-bridge,1,cli,True,CLI bridge connecting local AI agents to the Agents.Hot platform,,
@reconugc/cli,1,cli,True,"RECON UGC from your terminal — search viral TikToks, read breakdowns, compare videos, and run RECON as a local MCP server. Sign in with your browser, ","reconugc,tiktok,ugc,cli,mcp,modelcontextprotocol,ai",
dompurify,1,library,False,"DOMPurify is a DOM-only, super-fast, uber-tolerant XSS sanitizer for HTML, MathML and SVG. It runs as JavaScript and works in all modern browsers, as ","dom,xss,html,svg,mathml,security,secure,sanitizer,sanitize,filter,purify",
@types/dompurify,1,library,False,"Stub TypeScript definitions entry for dompurify, which provides its own types definitions",,
xstate,1,library,False,Finite State Machines and Statecharts for the Modern Web.,"statechart,state machine,finite state machine,finite automata,scxml,state,interpreter,graph",
@langwatch/scenario,1,library,False,A TypeScript library for testing AI agents using scenarios,,
mcporter,1,cli,True,TypeScript runtime and CLI for connecting to configured Model Context Protocol servers.,"cli,mcp,model-context-protocol",
@coregit/sdk,1,library,False,Official TypeScript SDK for the Coregit API,"coregit,git,api,sdk,serverless",
@coregit/cli,1,cli,True,CLI for Coregit — Serverless Git for AI-native products,"coregit,git,cli,ai,agent",
headless-twitter,1,cli,True,"Read Twitter/X from your terminal. Chrome CDP, GraphQL intercept. Zero API keys. Zero mutations. Read-only by design.","twitter,x,cdp,chrome-devtools-protocol,chrome,puppeteer-core,graphql,read-only,feed-reader,timeline,tweet,scraper,headless,cli,terminal,typescript,ai-agent,no-api-key",
paperbd,1,cli,True,PaperBD command-line client.,,
@dodopayments/sdk,1,unknown,False,,,HTTP 404
